Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,24094,Rotselaar,2,17081
202106,Gemeente,24109,Tremelo,0,15008
202106,Gemeente,24130,Zoutleeuw,0,8531
202106,Gemeente,24134,Scherpenheuvel-Zichem,7,23135
202106,Gemeente,24137,Glabbeek,1,5340
202106,Gemeente,25018,Chaumont-Gistoux,5,11630
202106,Gemeente,25023,Court-Saint-Étienne,2,10599
202106,Gemeente,25037,Graven,3,13984
202106,Gemeente,25110,Waterloo,6,30379
202106,Gemeente,25118,Hélécine,0,3648
202106,Gemeente,31005,Brugge,67,118467
202106,Gemeente,31040,Zedelgem,0,22901
202106,Gemeente,32006,Houthulst,3,10214
202106,Gemeente,33039,Heuvelland,0,7897
202106,Gemeente,34009,Deerlijk,3,12182
202106,Gemeente,34022,Kortrijk,98,77213
202106,Gemeente,35002,Bredene,3,18086
202106,Gemeente,35014,Oudenburg,2,9672
202106,Gemeente,38025,Veurne,1,12172
202106,Gemeente,41018,Geraardsbergen,38,33970
202106,Gemeente,41027,Herzele,6,18414
202106,Gemeente,41081,Zottegem,7,26921
202106,Gemeente,42028,Zele,9,21333
202106,Gemeente,44021,Gent,467,263703
202106,Gemeente,44034,Lochristi,0,22621
202106,Gemeente,44045,Moerbeke,1,6619
202106,Gemeente,44081,Zulte,2,15843
202106,Gemeente,45035,Oudenaarde,18,31650
202106,Gemeente,45041,Ronse,8,26510
202106,Gemeente,46020,Sint-Gillis-Waas,8,19590
202106,Gemeente,46021,Sint-Niklaas (Sint-Niklaas),137,79357
202106,Gemeente,51008,Beloeil,0,14074
202106,Gemeente,52025,Gerpinnes,1,12735
202106,Gemeente,53028,Frameries,5,21745
202106,Gemeente,53068,Quiévrain,4,6778
202106,Gemeente,55040,Zinnik,21,28311
202106,Gemeente,55085,Seneffe (vanaf 2019),0,11407
202106,Gemeente,56001,Anderlues,2,12429
202106,Gemeente,56086,Ham-Sur-Heure-Nalinnes,0,13655
202106,Gemeente,56088,Sivry-Rance,0,4798
202106,Gemeente,57003,Antoing,3,7638
202106,Gemeente,57062,Pecq,0,5829
202106,Gemeente,57094,Leuze-En-Hainaut,7,13959
202106,Gemeente,61039,Marchin,2,5501
202106,Gemeente,61043,Nandrin,0,5774
202106,Gemeente,62079,Oupeye,7,25376
202106,Gemeente,62100,Sprimont,0,14932
202106,Gemeente,63013,Bütgenbach,3,5604
202106,Gemeente,63020,Dison,66,15131
202106,Gemeente,63046,Limburg,0,5867
202106,Gemeente,63048,Lontzen,4,5885
202106,Gemeente,63067,Sankt Vith,8,9853
202106,Gemeente,64008,Berloz,2,3185
202106,Gemeente,64063,Remicourt,4,6049
202106,Gemeente,64075,Wasseiges,0,2996
202106,Gemeente,71017,Gingelom,0,8426
202106,Gemeente,71020,Halen,1,9360
202106,Gemeente,71053,Sint-Truiden,25,40557
202106,Gemeente,71057,Tessenderlo,0,18881
202106,Gemeente,71066,Zonhoven,3,21339
202106,Gemeente,72004,Bree,3,16097
202106,Gemeente,73028,Herstappe,0,78
202106,Gemeente,73032,Hoeselt,1,9740
202106,Gemeente,73042,Lanaken,4,25922
202106,Gemeente,73083,Tongeren,37,31224
202106,Gemeente,81015,Messancy,2,8332
202106,Gemeente,82038,Sainte-Ode,0,2587
202106,Gemeente,83040,Nassogne,1,5589
202106,Gemeente,83044,Rendeux,0,2651
202106,Gemeente,83049,Tenneville,0,2890
202106,Gemeente,83055,Manhay,0,3607
202106,Gemeente,84009,Bertrix,3,8936
202106,Gemeente,84050,Paliseul,0,5453
202106,Gemeente,84068,Tellin,0,2508
202106,Gemeente,84077,Libramont-Chevigny,6,11482
202106,Gemeente,85009,Étalle,2,5948
202106,Gemeente,85045,Virton,7,11371
202106,Gemeente,91030,Ciney,0,16822
202106,Gemeente,91072,Houyet,0,5061
202106,Gemeente,91120,Somme-Leuze,0,5880
202106,Gemeente,92045,Floreffe,0,8161
202106,Gemeente,92054,Gesves,0,7247
202106,Gemeente,92114,Sombreffe,0,8433
202106,Gemeente,92137,Sambreville,12,28318
202106,Gemeente,92138,Fernelmont,0,8074
202106,Gemeente,92140,Jemeppe-Sur-Sambre,3,19182
202106,Gemeente,93014,Couvin,3,13800
202106,Gemeente,56005,Beaumont,0,7120
202106,Gemeente,56044,Lobbes,0,5861
202106,Gemeente,56051,Momignies,0,5310
202106,Gemeente,57018,Celles,0,5612
202106,Gemeente,57027,Estaimpuis,1,10546
202106,Gemeente,61003,Amay,4,14368
202106,Gemeente,61010,Burdinne,0,3300
202106,Gemeente,61012,Clavier,0,4736
202106,Gemeente,61024,Hamoir,0,3860
202106,Gemeente,61028,Héron,0,5542
202106,Gemeente,61031,Hoei,61,21392
202106,Gemeente,61072,Wanze,7,13813
202106,Gemeente,62011,Bitsingen,0,8942
202106,Gemeente,62026,Comblain-Au-Pont,1,5375
202106,Gemeente,62051,Herstal,130,40157
202106,Gemeente,62096,Seraing,177,63787
202106,Gemeente,62119,Blégny,2,13382
202106,Gemeente,62120,Flémalle,25,26402
202106,Gemeente,63035,Herve,7,17473
202106,Gemeente,63038,Jalhay,1,8679
202106,Gemeente,63075,Stoumont,0,3174
202106,Gemeente,63089,Thimister-Clermont,2,5642
202106,Gemeente,64021,Crisnée,1,3496
202106,Gemeente,64025,Fexhe-Le-Haut-Clocher,0,3269
202106,Gemeente,71011,Diepenbeek,4,19157
202106,Gemeente,23009,Bever,0,2201
202106,Gemeente,23025,Grimbergen,16,38314
